MIS_threshold,Execution_time,Total_FP_sets,1,2,3,4,5,6,7,8
0.5,1.29,48,10,18,14,5,1,0,0,0
0.4,1.69,53,13,20,14,5,1,0,0,0
0.3,2.71,66,18,26,16,5,1,0,0,0
0.2,4.11,73,24,27,16,5,1,0,0,0
0.1,4.40,78,29,27,16,5,1,0,0,0
0.09,4.47,79,30,27,16,5,1,0,0,0
0.08,5.36,83,33,28,16,5,1,0,0,0
0.07,6.12,94,37,31,19,6,1,0,0,0
0.06,7.79,99,41,32,19,6,1,0,0,0
0.05,10.13,105,47,32,19,6,1,0,0,0
0.04,11.17,112,52,34,19,6,1,0,0,0
0.03,14.93,123,61,36,19,6,1,0,0,0
0.02,20.84,140,72,40,21,6,1,0,0,0
0.01,36.92,179,95,53,24,6,1,0,0,0
0.009,45.95,185,99,55,24,6,1,0,0,0
0.008,40.41,187,101,55,24,6,1,0,0,0
0.007,49.00,263,170,61,25,6,1,0,0,0
0.006,52.55,240,114,70,38,15,3,0,0,0
0.005,59.66,269,121,80,47,18,3,0,0,0
0.004,67.85,280,129,82,48,18,3,0,0,0
0.003,88.19,340,144,96,62,29,8,1,0,0
0.002,138.83,734,176,149,151,129,83,36,9,1
